Satellite,Timestamp (UTC),Doppler Shift (Hz)
STARLINK-3927,2025-07-13T03:09:07Z,138650.1878
STARLINK-3927,2025-07-13T03:09:08Z,136545.4634
STARLINK-3927,2025-07-13T03:09:09Z,134404.4677
STARLINK-3927,2025-07-13T03:09:10Z,132226.9553
STARLINK-3927,2025-07-13T03:09:11Z,130012.7073
STARLINK-3927,2025-07-13T03:09:12Z,127761.5331
STARLINK-3927,2025-07-13T03:09:13Z,125473.2719
STARLINK-3927,2025-07-13T03:09:14Z,123147.7948
STARLINK-3927,2025-07-13T03:09:15Z,120785.0065
STARLINK-3927,2025-07-13T03:09:16Z,118384.8471
STARLINK-3927,2025-07-13T03:09:17Z,115947.2942
STARLINK-3927,2025-07-13T03:09:18Z,113472.3644
STARLINK-3927,2025-07-13T03:09:19Z,110960.1153
STARLINK-3927,2025-07-13T03:09:20Z,108410.6471
STARLINK-3927,2025-07-13T03:09:21Z,105824.1045
STARLINK-3927,2025-07-13T03:09:22Z,103200.6783
STARLINK-3927,2025-07-13T03:09:23Z,100540.6071
STARLINK-3927,2025-07-13T03:09:24Z,97844.17876
STARLINK-3927,2025-07-13T03:09:25Z,95111.73176
STARLINK-3927,2025-07-13T03:09:26Z,92343.65673
STARLINK-3927,2025-07-13T03:09:27Z,89540.39757
STARLINK-3927,2025-07-13T03:09:28Z,86702.45258
STARLINK-3927,2025-07-13T03:09:29Z,83830.37544
STARLINK-3927,2025-07-13T03:09:30Z,80924.77599
STARLINK-3927,2025-07-13T03:09:31Z,77986.3209
STARLINK-3927,2025-07-13T03:09:32Z,75015.73413
STARLINK-3927,2025-07-13T03:09:33Z,72013.79723
STARLINK-3927,2025-07-13T03:09:34Z,68981.34935
STARLINK-3927,2025-07-13T03:09:35Z,65919.28719
STARLINK-3927,2025-07-13T03:09:36Z,62828.56461
STARLINK-3927,2025-07-13T03:09:37Z,59710.19206
STARLINK-3927,2025-07-13T03:09:38Z,56565.23575
STARLINK-3927,2025-07-13T03:09:39Z,53394.81664
STARLINK-3927,2025-07-13T03:09:40Z,50200.10912
STARLINK-3927,2025-07-13T03:09:41Z,46982.33951
STARLINK-3927,2025-07-13T03:09:42Z,43742.78426
STARLINK-3927,2025-07-13T03:09:43Z,40482.76793
STARLINK-3927,2025-07-13T03:09:44Z,37203.66098
STARLINK-3927,2025-07-13T03:09:45Z,33906.87726
STARLINK-3927,2025-07-13T03:09:46Z,30593.87132
STARLINK-3927,2025-07-13T03:09:47Z,27266.13548
STARLINK-3927,2025-07-13T03:09:48Z,23925.19674
STARLINK-3927,2025-07-13T03:09:49Z,20572.61346
STARLINK-3927,2025-07-13T03:09:50Z,17209.9719
STARLINK-3927,2025-07-13T03:09:51Z,13838.88257
STARLINK-3927,2025-07-13T03:09:52Z,10460.97649
STARLINK-3927,2025-07-13T03:09:53Z,7077.901313
STARLINK-3927,2025-07-13T03:09:54Z,3691.317344
STARLINK-3927,2025-07-13T03:09:55Z,302.8934901
STARLINK-3927,2025-07-13T03:09:56Z,-3085.69682
STARLINK-3927,2025-07-13T03:09:57Z,-6472.779764
STARLINK-3927,2025-07-13T03:09:58Z,-9856.685243
STARLINK-3927,2025-07-13T03:09:59Z,-13235.75099
STARLINK-3927,2025-07-13T03:10:00Z,-16608.3266
STARLINK-4258,2025-07-13T03:09:53Z,173297.291
STARLINK-4258,2025-07-13T03:09:54Z,171990.0332
STARLINK-4258,2025-07-13T03:09:55Z,170660.0056
STARLINK-4258,2025-07-13T03:09:56Z,169306.8642
STARLINK-4258,2025-07-13T03:09:57Z,167930.2658
STARLINK-4258,2025-07-13T03:09:58Z,166529.8682
STARLINK-4258,2025-07-13T03:09:59Z,165105.3307
STARLINK-4363,2025-07-13T03:09:00Z,-16375.17594
STARLINK-4363,2025-07-13T03:09:01Z,-19892.23042
STARLINK-4363,2025-07-13T03:09:02Z,-23399.57737
STARLINK-4363,2025-07-13T03:09:03Z,-26895.55531
STARLINK-4363,2025-07-13T03:09:04Z,-30378.52992
STARLINK-4363,2025-07-13T03:09:05Z,-33846.89776
STARLINK-4363,2025-07-13T03:09:06Z,-37299.08975
STARLINK-4363,2025-07-13T03:09:07Z,-40733.57447
STARLINK-4363,2025-07-13T03:09:08Z,-44148.86128
STARLINK-4363,2025-07-13T03:09:09Z,-47543.50324
STARLINK-4363,2025-07-13T03:09:10Z,-50916.09978
STARLINK-4363,2025-07-13T03:09:11Z,-54265.29913
STARLINK-4363,2025-07-13T03:09:12Z,-57589.80054
STARLINK-4363,2025-07-13T03:09:13Z,-60888.35621
STARLINK-4363,2025-07-13T03:09:14Z,-64159.77304
STARLINK-4363,2025-07-13T03:09:15Z,-67402.91405
STARLINK-4363,2025-07-13T03:09:16Z,-70616.69959
STARLINK-4363,2025-07-13T03:09:17Z,-73800.10832
STARLINK-4363,2025-07-13T03:09:18Z,-76952.1779
STARLINK-4363,2025-07-13T03:09:19Z,-80072.0055
STARLINK-4363,2025-07-13T03:09:20Z,-83158.74802
STARLINK-4363,2025-07-13T03:09:21Z,-86211.62215
STARLINK-4363,2025-07-13T03:09:22Z,-89229.90415
STARLINK-4363,2025-07-13T03:09:23Z,-92212.9295
STARLINK-4363,2025-07-13T03:09:24Z,-95160.0923
STARLINK-4363,2025-07-13T03:09:25Z,-98070.84453
STARLINK-4363,2025-07-13T03:09:26Z,-100944.6951
STARLINK-4363,2025-07-13T03:09:27Z,-103781.209
STARLINK-4363,2025-07-13T03:09:28Z,-106580.0055
STARLINK-4363,2025-07-13T03:09:29Z,-109340.7577
STARLINK-4363,2025-07-13T03:09:30Z,-112063.1903
STARLINK-4363,2025-07-13T03:09:31Z,-114747.0785
STARLINK-4363,2025-07-13T03:09:32Z,-117392.2461
STARLINK-4363,2025-07-13T03:09:33Z,-119998.5641
STARLINK-4363,2025-07-13T03:09:34Z,-122565.9487
STARLINK-4363,2025-07-13T03:09:35Z,-125094.3595
STARLINK-4363,2025-07-13T03:09:36Z,-127583.7978
STARLINK-4363,2025-07-13T03:09:37Z,-130034.3047
STARLINK-4363,2025-07-13T03:09:38Z,-132445.9589
STARLINK-4363,2025-07-13T03:09:39Z,-134818.8754
STARLINK-4363,2025-07-13T03:09:40Z,-137153.2028
STARLINK-4363,2025-07-13T03:09:41Z,-139449.1222
STARLINK-4363,2025-07-13T03:09:42Z,-141706.8448
STARLINK-4363,2025-07-13T03:09:43Z,-143926.6103
STARLINK-4363,2025-07-13T03:09:44Z,-146108.685
STARLINK-4363,2025-07-13T03:09:45Z,-148253.3599
STARLINK-4363,2025-07-13T03:09:46Z,-150360.9492
STARLINK-4363,2025-07-13T03:09:47Z,-152431.7884
STARLINK-4363,2025-07-13T03:09:48Z,-154466.2328
STARLINK-4363,2025-07-13T03:09:49Z,-156464.6555
STARLINK-4363,2025-07-13T03:09:50Z,-158427.4466
STARLINK-4363,2025-07-13T03:09:51Z,-160355.0108
STARLINK-4363,2025-07-13T03:09:52Z,-162247.7666
STARLINK-4363,2025-07-13T03:09:53Z,-164106.1448
STARLINK-4363,2025-07-13T03:09:54Z,-165930.5869
STARLINK-4363,2025-07-13T03:09:55Z,-167721.5442
STARLINK-4363,2025-07-13T03:09:56Z,-169479.4762
STARLINK-4363,2025-07-13T03:09:57Z,-171204.8498
STARLINK-4363,2025-07-13T03:09:58Z,-172898.1382
STARLINK-4363,2025-07-13T03:09:59Z,-174559.8194
STARLINK-4363,2025-07-13T03:10:00Z,-176190.3757
STARLINK-4496,2025-07-13T03:09:00Z,-68078.05175
STARLINK-4496,2025-07-13T03:09:01Z,-71001.28499
STARLINK-4496,2025-07-13T03:09:02Z,-73896.72925
STARLINK-4496,2025-07-13T03:09:03Z,-76763.62251
STARLINK-4496,2025-07-13T03:09:04Z,-79601.25156
STARLINK-4496,2025-07-13T03:09:05Z,-82408.95199
STARLINK-4496,2025-07-13T03:09:06Z,-85186.10809
STARLINK-4496,2025-07-13T03:09:07Z,-87932.15251
STARLINK-4496,2025-07-13T03:09:08Z,-90646.56582
STARLINK-4496,2025-07-13T03:09:09Z,-93328.87596
STARLINK-4496,2025-07-13T03:09:10Z,-95978.65751
STARLINK-4496,2025-07-13T03:09:11Z,-98595.53086
STARLINK-4496,2025-07-13T03:09:12Z,-101179.1613
STARLINK-4496,2025-07-13T03:09:13Z,-103729.2581
STARLINK-4496,2025-07-13T03:09:14Z,-106245.5731
STARLINK-4496,2025-07-13T03:09:15Z,-108727.8999
STARLINK-4496,2025-07-13T03:09:16Z,-111176.0723
STARLINK-4496,2025-07-13T03:09:17Z,-113589.9633
STARLINK-4496,2025-07-13T03:09:18Z,-115969.4832
STARLINK-4496,2025-07-13T03:09:19Z,-118314.5789
STARLINK-4496,2025-07-13T03:09:20Z,-120625.2319
STARLINK-4496,2025-07-13T03:09:21Z,-122901.4571
STARLINK-4496,2025-07-13T03:09:22Z,-125143.3012
STARLINK-4496,2025-07-13T03:09:23Z,-127350.8414
STARLINK-4496,2025-07-13T03:09:24Z,-129524.1836
STARLINK-4496,2025-07-13T03:09:25Z,-131663.4612
STARLINK-4496,2025-07-13T03:09:26Z,-133768.8335
STARLINK-4496,2025-07-13T03:09:27Z,-135840.4841
STARLINK-4496,2025-07-13T03:09:28Z,-137878.6199
STARLINK-4496,2025-07-13T03:09:29Z,-139883.4689
STARLINK-4496,2025-07-13T03:09:30Z,-141855.2797
STARLINK-4496,2025-07-13T03:09:31Z,-143794.3194
STARLINK-4496,2025-07-13T03:09:32Z,-145700.8726
STARLINK-4496,2025-07-13T03:09:33Z,-147575.24
STARLINK-4496,2025-07-13T03:09:34Z,-149417.7375
STARLINK-4496,2025-07-13T03:09:35Z,-151228.6942
STARLINK-4496,2025-07-13T03:09:36Z,-153008.4519
STARLINK-4496,2025-07-13T03:09:37Z,-154757.3638
STARLINK-4496,2025-07-13T03:09:38Z,-156475.7933
STARLINK-4496,2025-07-13T03:09:39Z,-158164.1127
STARLINK-4496,2025-07-13T03:09:40Z,-159822.7029
STARLINK-4496,2025-07-13T03:09:41Z,-161451.9518
STARLINK-4496,2025-07-13T03:09:42Z,-163052.2535
STARLINK-4496,2025-07-13T03:09:43Z,-164624.0077
STARLINK-4496,2025-07-13T03:09:44Z,-166167.6185
STARLINK-4496,2025-07-13T03:09:45Z,-167683.4939
STARLINK-4496,2025-07-13T03:09:46Z,-169172.045
STARLINK-4496,2025-07-13T03:09:47Z,-170633.685
STARLINK-4496,2025-07-13T03:09:48Z,-172068.829
STARLINK-4496,2025-07-13T03:09:49Z,-173477.893
STARLINK-4496,2025-07-13T03:09:50Z,-174861.2935
STARLINK-4496,2025-07-13T03:09:51Z,-176219.4469
STARLINK-4496,2025-07-13T03:09:52Z,-177552.769
STARLINK-4496,2025-07-13T03:09:53Z,-178861.6745
